Y,Z,Count
2.0,-7.0,10813
0.0,-1.0,57015
0.0,0.0,142680
-1.0,0.0,113473
1.0,-1.0,12896
1.0,-2.0,1730
0.0,-2.0,1286
1.0,-7.0,13522
2.0,-8.0,6209
1.0,-8.0,11308
2.0,-9.0,5675
-1.0,-1.0,33907
1.0,-9.0,6883
2.0,-6.0,12239
1.0,-18.0,575
1.0,-20.0,732
1.0,-6.0,9892
1.0,-19.0,635
1.0,-17.0,463
0.0,-18.0,1266
0.0,-17.0,710
0.0,-19.0,798
0.0,-7.0,2637
0.0,-6.0,8521
0.0,-12.0,839
0.0,-8.0,9562
0.0,-9.0,5804
2.0,-17.0,236
1.0,-16.0,184
-1.0,-18.0,1636
-1.0,-17.0,1233
0.0,-13.0,490
0.0,-16.0,269
0.0,-14.0,221
-1.0,-9.0,6351
-1.0,-20.0,2543
-1.0,-19.0,1713
-1.0,-8.0,5406
-1.0,-10.0,2593
0.0,-15.0,162
-1.0,-16.0,740
-1.0,-6.0,9290
-1.0,-12.0,1323
-2.0,-20.0,1648
-1.0,-15.0,622
-1.0,-14.0,736
-1.0,-11.0,810
-2.0,-17.0,1536
-2.0,-18.0,846
-1.0,-13.0,1009
-2.0,-19.0,986
-1.0,-7.0,2869
-1.0,-5.0,1545
-2.0,-13.0,1524
-2.0,-12.0,4138
-2.0,-16.0,811
-1.0,-4.0,1399
-1.0,-3.0,1309
-2.0,-10.0,5343
-2.0,-9.0,6998
-3.0,-18.0,571
-2.0,-8.0,6516
-3.0,-17.0,510
-2.0,-15.0,820
-3.0,-16.0,408
-2.0,-14.0,1053
-2.0,-11.0,6165
-2.0,-7.0,7775
-2.0,-6.0,14517
-2.0,-5.0,11567
-2.0,-4.0,11676
-3.0,-11.0,974
-2.0,-3.0,16119
-3.0,-9.0,1388
-3.0,-10.0,1098
-3.0,-8.0,1511
-3.0,-7.0,1920
-3.0,-6.0,1678
-2.0,-2.0,19279
-3.0,-5.0,2871
-3.0,-4.0,4516
1.0,0.0,7544
0.0,1.0,22020
2.0,5.0,979
1.0,5.0,2613
3.0,4.0,135
0.0,5.0,3921
3.0,5.0,155
3.0,6.0,202
2.0,4.0,488
2.0,6.0,684
4.0,17.0,3
3.0,16.0,25
3.0,17.0,121
4.0,18.0,2
2.0,3.0,94
1.0,7.0,623
1.0,8.0,385
1.0,4.0,578
1.0,3.0,53
3.0,19.0,41
3.0,18.0,35
1.0,6.0,1681
2.0,10.0,55
2.0,17.0,179
2.0,18.0,87
2.0,16.0,171
1.0,9.0,53
2.0,19.0,56
2.0,15.0,97
1.0,2.0,194
1.0,10.0,57
0.0,6.0,1929
1.0,15.0,15
0.0,7.0,647
1.0,16.0,69
1.0,17.0,99
0.0,2.0,235
0.0,4.0,470
1.0,18.0,271
1.0,11.0,273
0.0,3.0,77
0.0,8.0,277
0.0,9.0,190
1.0,19.0,75
0.0,12.0,695
13.0,-19.0,13
13.0,-18.0,2
12.0,-18.0,11
13.0,-20.0,1
12.0,-19.0,4
14.0,-20.0,1
10.0,-20.0,44
9.0,-20.0,860
8.0,-20.0,770
8.0,-19.0,474
4.0,-10.0,144
4.0,-9.0,126
7.0,-19.0,477
3.0,-9.0,1604
7.0,-18.0,294
3.0,-10.0,259
6.0,-18.0,196
